sp,PNLP - praia
Phalacrocorax brasiliensis,0
ARDEIDAE,
Ardea cocoi,7
Egretta thula,0
CICONIIDAE,
Mycteria americana,0
PHOENICOPTERIDAE,
Phoenicopterus chilensis,0
Phoenicoparrus andinus,0
ANATIDAE,
Coscoroba coscoroba,0
HAEMATOPODIDAE,
Haematopus palliatus,8
CHARADRIIDAE,
Vanellus chilensis,0
Charadrius semipalmatus,81
Charadrius collaris,0
SCOLOPACIDAE,
Tringa flavipes,0
Calidris alba,25
Calidris fuscicollis,88
LARIDAE,
Larus dominicanus,502
Larus maculipennis,0
Sterna sandvicensis,15
Sterna maxima,45
Sterna hirundo,0
Sterna superciliaris,0
Phaetusa simplex,0
macariquinhos pequenos,0
