"","sp","nome_pt","status","ref"
"1","Amazonetta brasiliensis","Marreca-pé-vermelho","R/nd","(Nascimento 1995)"
"2","Anas flavirostris","Marreca-pardinha","R/nd","(Nascimento 1995)"
"3","Anas georgica","Marreca-parda","R/nd","(Nascimento 1995)"
"4","Anas versicolor","Marreca-cricri","R/nd","(Nascimento 1995)"
"6","Aramides ypecaha","Saracuraçu","R/nd","PEREIRA, M. S. & POERSCHKE, F., 2010. New bird records from Lagoa do Peixe National Park, southern Brazil. Biotemas, 23 (1): 241-246."
"7","Aramus guarauna","Carão","R/nd","(Nascimento 1995)"
"8","Ardea cocoi","Garça-moura, Socó-grande","R","(Nascimento 1995)"
"9","Arenaria interpres","Vira-pedra","N","(Nascimento 1995)"
"11","Bubulcus ibis","Garça-vaqueira","R","PEREIRA, M. S. & POERSCHKE, F., 2010. New bird records from Lagoa do Peixe National Park, southern Brazil. Biotemas, 23 (1): 241-246."
"13","Butorides striata","Socozinho","M","

"
"14","Calidris alba","Maçarico-branco","N","(Nascimento 1995)"
"15","Calidris canutus","Maçarico-de-papo-vermelho","N","(Nascimento 1995)"
"16","Calidris fuscicollis","Maçarico-de-sobre-branco","N","(Nascimento 1995)"
"17","Calidris minutilla","Maçariquinho","N, V","(Nascimento 1995)"
"18","Callonetta leucophrys","Marreca-de-coleira","D","PEREIRA, M. S. & POERSCHKE, F., 2010. New bird records from Lagoa do Peixe National Park, southern Brazil. Biotemas, 23 (1): 241-246."
"19","Casmerodius albus","Garça-branca-grande","R","(Nascimento 1995)"
"20","Charadrius collaris","Batuíra-de-coleira","R/nd","(Nascimento 1995)"
"21","Charadrius falklandicus","Batuíra-de-coleira-dupla","R/nd","(Nascimento 1995)"
"22","Charadrius modestus","Batuíra-de-peito-avermelhado","S","(Nascimento 1995)"
"23","Charadrius semipalmatus","Batuíra-norte-americana","N","(Nascimento 1995)"
"24","Chauna torquata","Tachã","R/nd","(Nascimento 1995)"
"25","Chloroceryle amazona","Martim-pescador-verde","R","(Nascimento 1995)"
"26","Chloroceryle americana","Martim-pescador-pequeno","R","(Nascimento 1995)"
"27","Ciconia maguari","João-grande","R/nd","(Nascimento 1995)"
"28","Coscoroba coscoroba","Capororoca","R/nd","(Nascimento 1995)"
"29","Dendrocygna bicolor","Marreca-caneleira","R","(Nascimento 1995)"
"30","Dendrocygna viduata","Marreca-piadeira, Irerê","R","(Nascimento 1995)"
"31","Egretta thula","Garça-branca-pequena","R","(Nascimento 1995)"
"32","Fulica armillata","Carqueja-de-bico-maculado","R/nd","(Nascimento 1995)"
"33","Fulica leucoptera","Carqueja-de-bico-amarelo","R/nd","(Nascimento 1995)"
"34","Gallinago paraguaiae","Narceja","R","(Nascimento 1995)"
"35","Gallinula chloropus","Galinhola, Frango-d’água","R/nd","PEREIRA, M. S. & POERSCHKE, F., 2010. New bird records from Lagoa do Peixe National Park, southern Brazil. Biotemas, 23 (1): 241-246."
"36","Haematopus palliatus","Piru-piru","R/nd","(Nascimento 1995)"
"37","Himantopus mexicanus","Pernilongo","R/nd","(Nascimento 1995)"
"38","Ixobrychus involucris","Socoí-amarelo","R","(Nascimento 1995)"
"40","Jacana jacana","Jaçanã","R","(Nascimento 1995)"
"41","Larus dominicanus","Gaivotão","R",""
"42","Megaceryle torquata","Martim-pescador-grande","R","(Nascimento 1995)"
"43","Mycteria americana","Cabeça-seca","M","(Nascimento 1995)"
"44","Netta peposaca","Marrecão","R","(Nascimento 1995)"
"45","Nycticorax nycticorax","Savacu","R","(Nascimento 1995)"
"46","Oxyura vittata","Marreca-pés-na-bunda","S","(Nascimento 1995)"
"48","Pardirallus sanguinolentus","Saracura-do-banhado","R/nd","(Nascimento 1995)"
"49","Phaetusa simplex","Trinta-réis-grande","R","PEREIRA, M. S. & POERSCHKE, F., 2010. New bird records from Lagoa do Peixe National Park, southern Brazil. Biotemas, 23 (1): 241-246."
"50","Phalacrocorax brasilianus","Biguá","R","(Nascimento 1995)"
"51","Phimosus infuscatus","Maçarico-de-cara-pelada, Chapéu-velho","R/nd","(Nascimento 1995)"
"52","Phoenicopterus chilensis","Flamingo","S","(Nascimento 1995)"
"53","Platalea ajaja","Colhereiro","R","(Nascimento 1995)"
"54","Plegadis chihi","Maçarico-preto","R/nd","(Nascimento 1995)"
"55","Pluvialis dominica","Batuiruçu","N","(Nascimento 1995)"
"56","Pluvialis squatarola","Batuiruçu-de-axila-preta","N","(Nascimento 1995)"
"57","Podiceps major","Mergulhão-grande","R","(Nascimento 1995)"
"58","Podilymbus podiceps","Mergulhão","R","(Nascimento 1995)"
"59","Rollandia rolland","Mergulhão-de-orelhas-brancas","R/nd","(Nascimento 1995)"
"60","Rynchops niger","Talha-mar","R","(Nascimento 1995)"
"61","Sterna hirundinacea","Trinta-réis-de-bico-vermelho","S","(Nascimento 1995)"
"62","Sterna hirundo","Trinta-réis-boreal","N","(Nascimento 1995)"
"63","Sterna sandvicensis","Trinta-réis-de-bico-amarelo","S","(Nascimento 1995)"
"64","Sterna trudeaui","Trinta-réis-de-coroa-branca","R","(Nascimento 1995)"
"65","Sterna vittata","Trinta-réis-antártico","VA (S)","(Nascimento 1995)"
"66","Syrigma sibilatrix","Maria-faceira","R","PEREIRA, M. S. & POERSCHKE, F., 2010. New bird records from Lagoa do Peixe National Park, southern Brazil. Biotemas, 23 (1): 241-246."
"67","Tachybaptus dominicus","Mergulhão-pequeno","R",""
"68","Theristicus caerulescens","Maçarico-real","R",""
"69","Tringa flavipes","Maçarico-perna-amarela","N","(Nascimento 1995)"
"70","Tringa melanoleuca","Maçarico-grande-perna-amarela","N","(Nascimento 1995)"
"71","Tringa solitaria","Maçarico-solitário","N","(Nascimento 1995)"
"72","Tryngites subruficollis","Maçarico-acanelado","N","(Nascimento 1995)"
"73","Vanellus chilensis","Quero-quero","R/nd","(Nascimento 1995)"
